Rank,Title,basename,Genre,ESRB_Rating,Platform,PublisherName,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,T,PS,Activision,Neversoft Entertainment,9.6,,,5.02,3.42,1.38,0.02,0.2,1999,https://www.vgchartz.com/games/boxart/full_7000850AmericaFrontccc.jpg
253,Warzone 2100,warzone-2100,Strategy,T,PS,Eidos Interactive,Pumpkin Studios,,,,5.01,2.79,1.89,,0.33,1999,https://www.vgchartz.com/games/boxart/full_6348663AmericaFrontccc.jpg
254,Spyro the Dragon,spyro-the-dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,,5,3.36,1.36,0.07,0.21,1998,https://www.vgchartz.com/games/boxart/4840522ccc.jpg
255,Cities: Skylines,cities-skylines,Simulation,E,PC,Paradox Interactive,Colossal Order,,,5,,,,,,2015,https://www.vgchartz.com/games/boxart/full_1184797AmericaFrontccc.jpg
256,Gears of War,gears-of-war,Shooter,M,X360,Microsoft Game Studios,Epic Games,9.4,9.4,5,,,,,,2006,https://www.vgchartz.com/games/boxart/full_7453779AmericaFrontccc.jpg
257,Gears of War 2,gears-of-war-2,Shooter,M,X360,Microsoft Game Studios,Epic Games,9.4,9.5,5,,,,,,2008,https://www.vgchartz.com/games/boxart/full_4089698AmericaFrontccc.jpg
258,Guild Wars 2,guild-wars-2,Role-Playing,T,PC,NCSoft,ArenaNet,,,5,,,,,,2012,https://www.vgchartz.com/games/boxart/full_4799911PALFrontccc.jpg
259,Halo 5: Guardians,halo-5-guardians,Shooter,T,XOne,Microsoft Studios,343 Industries,8.6,,5,,,,,,2015,https://www.vgchartz.com/games/boxart/full_5219144AmericaFrontccc.jpg
260,Halo: Combat Evolved,halo-combat-evolved,Shooter,M,XB,Microsoft,Bungie Studios,9.5,,5,,,,,,2001,https://www.vgchartz.com/games/boxart/2626126ccc.jpg
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,PS2,RedOctane,BudCat Creations,8.2,,,4.98,3.49,0.01,0.01,1.48,2007,https://www.vgchartz.com/games/boxart/full_5372169AmericaFrontccc.jpg
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,,4.97,2.32,1.73,0.12,0.8,2007,https://www.vgchartz.com/games/boxart/full_7863698AmericaFrontccc.jpg
263,Resident Evil 2,resident-evil-2,Action,M,PS,Capcom,Capcom,9.3,,4.96,,,,,,1998,https://www.vgchartz.com/games/boxart/full_3891455AmericaFrontccc.jpg
264,Fallout 3,fallout-3,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9,8.6,,4.96,3.41,0.99,0.09,0.46,2008,https://www.vgchartz.com/games/boxart/full_6847566AmericaFrontccc.jpg
265,Splatoon,splatoon,Shooter,E10,WiiU,Nintendo,Nintendo EAD,8.4,,4.94,,,,,,2015,https://www.vgchartz.com/games/boxart/full_8081400AmericaFrontccc.png
266,Madden NFL 06,madden-nfl-06,Sports,E,PS2,EA Sports,EA Tiburon,9.1,,,4.91,3.98,0.26,0.01,0.66,2005,https://www.vgchartz.com/games/boxart/full_727567AmericaFrontccc.jpg
267,Stardew Valley,stardew-valley,Simulation,E10,PC,Chucklefish,ConcernedApe,9.2,,4.91,,,,,,2016,https://www.vgchartz.com/games/boxart/full_5698458AmericaFrontccc.jpg
268,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,Role-Playing,T,PS2,Square Enix,Level 5 / Armor Project,8.6,,4.9,,,,,,2005,https://www.vgchartz.com/games/boxart/9850714ccc.jpg
269,Monster Hunter Freedom 3,monster-hunter-freedom-3,Role-Playing,,PSP,Capcom,Capcom,,,4.9,,,,,,2010,https://www.vgchartz.com/games/boxart/full_monster-hunter-freedom-3_495JapanFront.jpg
270,Diddy Kong Racing,diddy-kong-racing,Racing,E,N64,Nintendo,Rare Ltd.,8.3,,4.88,,,,,,1997,https://www.vgchartz.com/games/boxart/5394136ccc.jpg
271,Pokemon Mystery Dungeon: Explorers of Time / Darkness,pokmon-mystery-dungeon-explorers-of-time,Role-Playing,E,DS,Nintendo,ChunSoft,6.4,,4.88,,,,,,2008,https://www.vgchartz.com/games/boxart/full_205074AmericaFrontccc.jpg
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,XOne,Activision,Treyarch,,,,4.85,3.27,1.12,,0.46,2018,https://www.vgchartz.com/games/boxart/full_1714505AmericaFrontccc.jpg
273,Dr. Mario,dr-mario,Puzzle,,NES,Nintendo,Nintendo R&D1,,,4.85,,,,,,1990,https://www.vgchartz.com/games/boxart/3111018ccc.jpg
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,PS4,Activision,Vicarious Visions,,,,4.83,1.09,2.92,0.07,0.74,2017,https://www.vgchartz.com/games/boxart/full_2372411AmericaFrontccc.jpg
275,Assassin's Creed,assassins-creed,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,,4.83,1.91,2.01,0.09,0.82,2007,https://www.vgchartz.com/games/boxart/full_2363378AmericaFrontccc.jpg
276,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,XOne,Activision,Infinity Ward,,,,4.79,2.91,1.44,,0.44,2016,https://www.vgchartz.com/games/boxart/full_8795174AmericaFrontccc.jpg
277,Crash Team Racing,crash-team-racing,Racing,E,PS,Sony Computer Entertainment,Naughty Dog,9.2,,,4.79,2.57,1.57,0.44,0.21,1999,https://www.vgchartz.com/games/boxart/full_1178878AmericaFrontccc.jpg
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E,DS,LucasArts,Traveller's Tales,7.8,,,4.77,2.83,1.49,,0.45,2007,https://www.vgchartz.com/games/boxart/full_5884504AmericaFrontccc.jpg
279,The Legend of Zelda: Phantom Hourglass,the-legend-of-zelda-phantom-hourglass,Adventure,E,DS,Nintendo,Nintendo EAD,9.1,,4.76,,,,,,2007,https://www.vgchartz.com/games/boxart/full_9653536AmericaFrontccc.jpg
280,Batman: Arkham City,batman-arkham-city,Action,T,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,,4.75,2.99,1.28,0.04,0.44,2011,https://www.vgchartz.com/games/boxart/full_batman-arkham-city_302AmericaFront.jpg
281,Driver 2,driver-2,Action,T,PS,Atari,Reflections Interactive,7,,,4.73,2.36,2.1,0.02,0.25,2000,https://www.vgchartz.com/games/boxart/full_6536899AmericaFrontccc.jpg
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,PS2,VU Games,Radical Entertainment,7.7,,,4.7,1.73,2.19,,0.79,2003,https://www.vgchartz.com/games/boxart/7115362ccc.jpg
283,World of Warcraft: Cataclysm,world-of-warcraft-cataclysm,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,9,,4.7,,,,,,2010,https://www.vgchartz.com/games/boxart/full_world-of-warcraft-cataclysm_20AmericaFront.jpg
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,PS,Activision,Neversoft Entertainment,9.3,,,4.68,3.05,1.41,0.02,0.2,2000,https://www.vgchartz.com/games/boxart/1600356ccc.jpg
285,Monster Hunter: World,monster-hunter-world,Action,T,PS4,Capcom,Capcom,9.3,9,,4.67,1.03,1.06,2.17,0.42,2018,https://www.vgchartz.com/games/boxart/full_9898553AmericaFrontccc.png
286,Gran Turismo,gran-turismo,Racing,E,PSP,Sony Computer Entertainment,Polyphony Digital,7.7,9.5,4.67,,,,,,2009,https://www.vgchartz.com/games/boxart/full_9538254AmericaFrontccc.jpg
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,PS2,Electronic Arts,Stormfront Studios,8.3,,,4.67,1.94,1.95,0.08,0.7,2002,https://www.vgchartz.com/games/boxart/8307809ccc.jpg
288,Tomb Raider,tomb-raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,8.9,,,4.63,2.29,1.97,0.13,0.24,1996,https://www.vgchartz.com/games/boxart/8585565ccc.jpg
289,God of War,god-of-war,Action,M,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,,4.62,,,,,,2005,https://www.vgchartz.com/games/boxart/full_5633331AmericaFrontccc.jpg
290,The Legend of Zelda: A Link to the Past,the-legend-of-zelda-a-link-to-the-past,Adventure,,SNES,Nintendo,Nintendo EAD,10,,4.61,,,,,,1992,https://www.vgchartz.com/games/boxart/1323877ccc.jpg
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,X360,Microsoft Studios,Turn 10 Studio,9.1,,,4.6,2.08,1.98,0.06,0.49,2011,https://www.vgchartz.com/games/boxart/full_forza-motorsport-4_905AmericaFront.jpg
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,Wii,RedOctane,Vicarious Visions,8.6,,,4.6,3.04,1.12,0,0.44,2007,https://www.vgchartz.com/games/boxart/full_2081446AmericaFrontccc.jpg
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,E,NS,Nintendo,Game Freak,8.3,,,4.57,2.16,1.24,0.82,0.34,2018,https://www.vgchartz.com/games/boxart/full_7522699AmericaFrontccc.jpg
294,BioShock Infinite,bioshock-infinite,Shooter,M,PC,2K Games,Irrational Games,,,4.56,,,,,,2013,https://www.vgchartz.com/games/boxart/full_7665085AmericaFrontccc.jpg
295,Mario & Luigi: Bowser's Inside Story,mario-amp-luigi-bowsers-inside-story,Role-Playing,E,DS,Nintendo,AlphaDream Corporation,9.1,,4.56,,,,,,2009,https://www.vgchartz.com/games/boxart/full_8699724AmericaFrontccc.jpg
296,FIFA 15,fifa-15,Sports,E,PS3,EA Sports,EA Canada,6.9,,,4.56,0.59,3.25,0.04,0.68,2014,https://www.vgchartz.com/games/boxart/full_2431298AmericaFrontccc.jpg
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,Wii,Sega,Sega,6.8,,,4.54,1.87,1.97,0.22,0.48,2009,https://www.vgchartz.com/games/boxart/full_1173134AmericaFrontccc.jpg
298,Overwatch,overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,,,4.54,1.84,1.8,0.17,0.73,2016,https://www.vgchartz.com/games/boxart/full_8847041AmericaFrontccc.jpg
299,Madden NFL 2005,madden-nfl-2005,Sports,E,PS2,EA Sports,EA Tiburon,9.5,,,4.53,4.18,0.26,0.01,0.08,2004,https://www.vgchartz.com/games/boxart/4564394ccc.jpg
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,X360,RedOctane,Neversoft,8.7,,,4.53,3.19,0.91,0.01,0.42,2007,https://www.vgchartz.com/games/boxart/full_8423912AmericaFrontccc.jpg
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,PS4,Electronic Arts,EA DICE,,,,4.53,1.7,1.99,0.12,0.73,2017,https://www.vgchartz.com/games/boxart/full_4032018AmericaFrontccc.jpg
302,Dead Island,dead-island,Action,M,PC,Deep Silver,Techland,7.1,,4.52,,,,,,2011,https://www.vgchartz.com/games/boxart/full_dead-island_410AmericaFront.jpg
303,Arma 2: Operation Arrowhead,arma-2-operation-arrowhead,Shooter,,PC,Unknown,Bohemia Interactive,,,4.51,,,,,,2011,https://www.vgchartz.com/games/boxart/full_7027156AmericaFrontccc.jpg
304,ARK: Survival Evolved,ark-survival-evolved,Action-Adventure,T,PC,Studio Wildcard,Studio Wildcard,,,4.5,,,,,,2015,https://www.vgchartz.com/games/boxart/full_1856885AmericaFrontccc.jpg
305,Riven: The Sequel to Myst,riven-the-sequel-to-myst,Adventure,E,PC,Red Orb,Cyan Worlds,,,4.5,,,,,,1997,https://www.vgchartz.com/games/boxart/8399996ccc.jpg
306,StarCraft II: Wings of Liberty,starcraft-ii-wings-of-liberty,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,,,,,,2010,https://www.vgchartz.com/games/boxart/full_starcraft-ii-wings-of-liberty_3AmericaFront.jpg
307,Warcraft III: Reign of Chaos,warcraft-iii-reign-of-chaos,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,,,,,,2002,https://www.vgchartz.com/games/boxart/full_6504358AmericaFrontccc.jpg
308,Pitfall!,pitfall,Platform,,2600,Activision,Activision,,,,4.5,4.21,0.24,,0.05,1982,https://www.vgchartz.com/games/boxart/127822ccc.jpg
309,Professor Layton and the Curious Village,professor-layton-and-the-curious-village,Adventure,E,DS,Nintendo,Level 5,8.7,,4.49,,,,,,2008,https://www.vgchartz.com/games/boxart/full_9257520AmericaFrontccc.jpg
310,Madden NFL 07,madden-nfl-07,Sports,E,PS2,EA Sports,EA Tiburon,8.5,,,4.49,3.63,0.24,0.01,0.61,2006,https://www.vgchartz.com/games/boxart/full_7550775AmericaFrontccc.jpg
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,PS2,Activision,Treyarch,8.2,,,4.48,2.71,1.51,0.03,0.23,2002,https://www.vgchartz.com/games/boxart/full_9484527AmericaFrontccc.jpg
312,Nintendogs + cats,nintendogs-cats,Simulation,E,3DS,Nintendo,Nintendo EAD,7.2,,4.48,,,,,,2011,https://www.vgchartz.com/games/boxart/full_98856AmericaFrontccc.jpg
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,9.2,,,4.47,2.89,1.03,0.13,0.41,2009,https://www.vgchartz.com/games/boxart/9008679ccc.jpg
314,The Legend of Zelda: The Wind Waker,the-legend-of-zelda-the-wind-waker,Adventure,E,GC,Nintendo,Nintendo EAD,9.6,,4.43,,,,,,2003,https://www.vgchartz.com/games/boxart/full_6636308AmericaFrontccc.jpg
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,PS2,Activision,Neversoft Entertainment,9.1,,,4.41,2.66,1.29,0.01,0.46,2001,https://www.vgchartz.com/games/boxart/7125264ccc.jpg
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,,,4.39,0.1,2.39,1.05,0.86,2007,https://www.vgchartz.com/games/boxart/full_2440699AmericaFrontccc.jpg
317,Zelda II: The Adventure of Link,zelda-ii-the-adventure-of-link,Adventure,,NES,Nintendo,Nintendo EAD,,,4.38,,,,,,1988,https://www.vgchartz.com/games/boxart/full_5047635AmericaFrontccc.jpg
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,Wii,Ubisoft,Ubisoft Montpellier,5.6,,,4.37,2.64,1.33,0.01,0.39,2010,https://www.vgchartz.com/games/boxart/full_michael-jackson-the-experience_693AmericaFront.jpg
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,PS4,Ubisoft,Massive Entertainment,,,,4.37,1.49,2.04,0.16,0.69,2016,https://www.vgchartz.com/games/boxart/full_8077647AmericaFrontccc.jpg
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,PS2,Electronic Arts,EA Canada,8.6,,,4.37,2.03,1.79,0.08,0.47,2005,https://www.vgchartz.com/games/boxart/full_137103AmericaFrontccc.jpg
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,,4.37,1.74,1.72,0.14,0.76,2006,https://www.vgchartz.com/games/boxart/full_7463593AmericaFrontccc.jpg
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,,PS4,Ubisoft,Ubisoft Montreal,,,,4.36,1.29,2.06,0.36,0.64,2015,https://www.vgchartz.com/games/boxart/full_2998894AmericaFrontccc.jpg
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,,,4.34,2.81,1.13,0,0.41,2014,https://www.vgchartz.com/games/boxart/full_4034633AmericaFrontccc.jpg
324,Watch Dogs,watch-dogs,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.32,1.4,2.13,0.11,0.68,2014,https://www.vgchartz.com/games/boxart/full_5952592AmericaFrontccc.jpg
325,Animal Crossing: City Folk,animal-crossing-city-folk,Simulation,E,Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,,,,,,2008,https://www.vgchartz.com/games/boxart/full_3192593AmericaFrontccc.jpg
326,Starbound,starbound,Misc,,PC,"Infocom, Inc.",Unknown,,,4.31,,,,,,2014,https://www.vgchartz.com/games/boxart/full_265994AmericaFrontccc.jpg
327,Asteroids,asteroids,Shooter,,2600,Atari,Atari,,,,4.31,4,0.26,,0.05,1981,https://www.vgchartz.com/games/boxart/8536311ccc.jpg
328,Dragon Quest VII,dragon-quest-vii,Role-Playing,T,PS,Enix,Heart Beat,8,,4.3,,,,,,2001,https://www.vgchartz.com/games/boxart/1747742ccc.jpg
329,Monster Hunter Generations,monster-hunter-generations,Action,T,3DS,Capcom,Capcom,8.8,,4.3,,,,,,2016,https://www.vgchartz.com/games/boxart/full_1311455AmericaFrontccc.jpg
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,9,,,4.28,2.26,1.33,0.07,0.63,2009,https://www.vgchartz.com/games/boxart/full_8831048AmericaFrontccc.jpg
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,,,4.27,1.59,1.81,0.2,0.67,2014,https://www.vgchartz.com/games/boxart/full_4650769AmericaFrontccc.jpg
332,God of War II,god-of-war-ii,Action,M,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,9.8,4.24,,,,,,2007,https://www.vgchartz.com/games/boxart/full_9897259AmericaFrontccc.jpg
333,Namco Museum,namco-museum,Misc,E,GBA,Namco,Mass Media,,,,4.24,3,1.11,0.05,0.07,2001,https://www.vgchartz.com/games/boxart/7930398ccc.jpg
334,Daxter,daxter,Platform,E10,PSP,Sony Computer Entertainment,Ready at Dawn,8.6,,,4.23,2.45,1.02,,0.77,2006,https://www.vgchartz.com/games/boxart/full_2230050AmericaFrontccc.jpg
335,Super Paper Mario,super-paper-mario,Platform,E,Wii,Nintendo,Intelligent Systems,8.5,,4.23,,,,,,2007,https://www.vgchartz.com/games/boxart/full_4113341AmericaFrontccc.jpg
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,,4.23,1.41,2.03,0.1,0.69,2011,https://www.vgchartz.com/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9,,,4.23,1.46,0,0.83,1.93,2004,https://www.vgchartz.com/games/boxart/full_2666802AmericaFrontccc.jpg
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,7.9,,,4.22,2.28,1.47,0.04,0.44,2011,https://www.vgchartz.com/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg
339,FIFA Soccer 06,fifa-soccer-06,Sports,E,PS2,EA Sports,EA Canada,8.4,,,4.21,0.78,2.55,0.04,0.84,2005,https://www.vgchartz.com/games/boxart/6864151ccc.jpg
340,Monster Hunter 4 Ultimate,monster-hunter-4-ultimate,Role-Playing,T,3DS,Capcom,Capcom,8.8,,4.2,,,,,,2015,https://www.vgchartz.com/games/boxart/full_7735329AmericaFrontccc.jpg
341,Street Fighter IV,street-fighter-iv,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,9.3,9,,4.19,2.04,1.05,0.59,0.52,2009,https://www.vgchartz.com/games/boxart/full_4144122AmericaFrontccc.jpg
342,7 Days to Die,7-days-to-die,Action,M,PC,The Fun Pimps,The Fun Pimps,,,4.18,,,,,,2013,https://www.vgchartz.com/games/boxart/full_8931458AmericaFrontccc.jpg
343,FIFA Soccer 12,fifa-soccer-12,Sports,E,X360,EA Sports,EA Canada,9.2,,,4.18,0.85,2.79,0.02,0.52,2011,https://www.vgchartz.com/games/boxart/full_fifa-soccer-12_845AmericaFront.jpg
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS4,Activision,Infinity Ward,7.5,,,4.17,1.79,1.64,0.05,0.69,2013,https://www.vgchartz.com/games/boxart/full_9732403AmericaFrontccc.jpg
345,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,Platform,,NES,Ultra Games,Konami,5.9,,,4.17,3.38,0.44,0.31,0.04,1989,https://www.vgchartz.com/games/boxart/8290971ccc.jpg
346,Just Cause 2,just-cause-2,Action,M,PC,Eidos Interactive,Avalanche Studios,8.2,,4.16,,,,,,2010,https://www.vgchartz.com/games/boxart/full_2386162AmericaFrontccc.jpg
347,Excitebike,excitebike,Racing,,NES,Nintendo,Nintendo R&D1,,,4.16,,,,,,1985,https://www.vgchartz.com/games/boxart/1280663ccc.jpg
348,Frogger,frogger,Action,E,PS,Hasbro Interactive,Millenium Interactive,,,,4.16,3.79,0.27,,0.11,1997,https://www.vgchartz.com/games/boxart/full_8811836AmericaFrontccc.jpg
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,XOne,Electronic Arts,EA DICE,6.9,,,4.15,2.49,1.26,0.02,0.38,2015,https://www.vgchartz.com/games/boxart/full_8451662AmericaFrontccc.jpg
350,FIFA 14,fifa-14,Sports,E,X360,EA Sports,EA Canada,,,,4.15,0.94,2.92,0.01,0.29,2013,https://www.vgchartz.com/games/boxart/full_6590731AmericaFrontccc.jpg
351,Madden NFL 2003,madden-nfl-2003,Sports,E,PS2,EA Sports,EA Tiburon,9.4,,,4.14,3.36,0.21,0.01,0.56,2002,https://www.vgchartz.com/games/boxart/32121ccc.jpg
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.14,1.25,2.16,0.09,0.65,2014,https://www.vgchartz.com/games/boxart/full_9858108AmericaFrontccc.jpg
353,Destiny 2,destiny-2,Shooter,T,PS4,Activision,Bungie,,,,4.14,1.92,1.44,0.1,0.69,2017,https://www.vgchartz.com/games/boxart/full_9963001AmericaFrontccc.jpg
354,Half-Life,half-life,Shooter,M,PC,Sierra Entertainment,Valve Software,9.5,,,4.12,4.03,0,0.09,,1998,https://www.vgchartz.com/games/boxart/full_8260273AmericaFrontccc.jpg
355,Super Mario World 2: Yoshi's Island,super-mario-world-2-yoshis-island,Platform,E,SNES,Nintendo,Nintendo EAD,9,,4.12,,,,,,1995,https://www.vgchartz.com/games/boxart/269609ccc.jpg
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,,,4.11,1.65,1.68,0.11,0.66,2015,https://www.vgchartz.com/games/boxart/full_2497280AmericaFrontccc.jpg
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,PS2,EA Sports,Team Fusion,8.4,,,4.11,0.71,2.48,0.03,0.89,2006,https://www.vgchartz.com/games/boxart/8249133ccc.jpg
358,The Sims 4,the-sims-4,Simulation,T,PC,Electronic Arts,Maxis,7,,,4.1,1.2,2.6,,0.3,2014,https://www.vgchartz.com/games/boxart/full_3447327AmericaFrontccc.jpg
359,Monster Hunter 4,monster-hunter-4,Role-Playing,,3DS,Capcom,Capcom,,,4.1,,,,,,2013,https://www.vgchartz.com/games/boxart/full_92569JapanFrontccc.jpg
360,Street Fighter II Turbo,street-fighter-ii-turbo,Fighting,,SNES,Capcom,Capcom,9,,4.1,,,,,,1993,https://www.vgchartz.com/games/boxart/full_street-fighter-ii-turbo_9AmericaFront.jpg
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,,4.08,2.67,1.03,0.04,0.34,2010,https://www.vgchartz.com/games/boxart/full_fallout-new-vegas_2AmericaFront.jpg
362,Assassin's Creed Origins,assassins-creed-origins,Action,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.06,1.22,2.11,0.11,0.63,2017,https://www.vgchartz.com/games/boxart/full_9947060AmericaFrontccc.jpg
363,Far Cry 4,far-cry-4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,,,4.06,1.18,2.14,0.11,0.63,2014,https://www.vgchartz.com/games/boxart/full_914135AmericaFrontccc.jpg
364,Carnival Games,carnival-games,Misc,E,Wii,Global Star Software,Cat Daddy Games,4.2,,,4.06,2.12,1.47,0.05,0.42,2007,https://www.vgchartz.com/games/boxart/full_5471499AmericaFrontccc.jpg
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,,,4.06,0.12,2.26,0.9,0.77,2006,https://www.vgchartz.com/games/boxart/6643842ccc.jpg
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,,4.05,2.35,1.27,0.03,0.41,2007,https://www.vgchartz.com/games/boxart/full_7383120AmericaFrontccc.jpg
367,Namco Museum Vol.3,namco-museum-vol3,Misc,E,PS,Namco,Namco,,,,4.05,2.28,1.55,0.16,0.06,1997,https://www.vgchartz.com/games/boxart/full_3964599AmericaFrontccc.jpg
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,PS2,Namco,Namco,8.7,,,4.05,1.68,1.51,0.51,0.35,2000,https://www.vgchartz.com/games/boxart/full_8749429AmericaFrontccc.jpg
369,Golf,golf,Sports,,NES,Nintendo,Nintendo,,,4.01,,,,,,1985,https://www.vgchartz.com/games/boxart/8130187ccc.jpg
370,Diablo II,diablo-ii,Role-Playing,M,PC,Blizzard Entertainment,Blizzard North,8.8,,4,,,,,,2000,https://www.vgchartz.com/games/boxart/full_6524627AmericaFrontccc.jpg
371,Disney's Aladdin,disneys-aladdin,Platform,,GEN,Sega,Virgin Interactive,,,4,,,,,,1993,https://www.vgchartz.com/games/boxart/3899399ccc.gif
372,EyeToy Play,eyetoy-play,Misc,E,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,,4,,,,,,2003,https://www.vgchartz.com/games/boxart/7892769ccc.jpg
373,Just Dance,just-dance,Misc,E10,Wii,Ubisoft,Ubisoft Paris,5.4,,4,,,,,,2009,https://www.vgchartz.com/games/boxart/full_just-dance_8AmericaFront.jpg
374,Star Fox 64,star-fox-64,Shooter,E,N64,Nintendo,Nintendo EAD,9,,4,,,,,,1997,https://www.vgchartz.com/games/boxart/6520536ccc.jpg
375,Super Mario Maker,super-mario-maker,Platform,E,WiiU,Nintendo,Nintendo EAD,8.8,,4,,,,,,2015,https://www.vgchartz.com/games/boxart/full_3540643AmericaFrontccc.jpg
376,World of Warcraft: Wrath of the Lich King,world-of-warcraft-wrath-of-the-lich-king,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,9.3,4,,,,,,2008,https://www.vgchartz.com/games/boxart/full_9224264AmericaFrontccc.jpg
377,Fallout 3,fallout-3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,,4,2.18,1.15,0.07,0.61,2008,https://www.vgchartz.com/games/boxart/full_8108598AmericaFrontccc.jpg
378,The Legend of Zelda: Oracle of Ages / Seasons,the-legend-of-zelda-oracle-of-ages,Adventure,E,GBC,Nintendo,Capcom,,,3.99,,,,,,2001,https://www.vgchartz.com/games/boxart/full_4442305AmericaFrontccc.jpg
