Rank,Title,basename,Genre,ESRB_Rating,Platform,PublisherName,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
501,Madden NFL 17,madden-nfl-17,Sports,E,PS4,EA Sports,EA Tiburon,8.5,,,3.28,2.3,0.37,,0.6,2016,https://www.vgchartz.com/games/boxart/full_441184AmericaFrontccc.jpg
502,True Crime: Streets of LA,true-crime-streets-of-la,Action,M,PS2,Activision,Luxoflux,,,,3.27,1.89,1.05,0.02,0.31,2003,https://www.vgchartz.com/games/boxart/2607496ccc.jpg
503,Gran Turismo (PSP),gran-turismo-psp,Racing,E,PSP,Sony Computer Entertainment,Polyphony Digital,,,,3.27,0.51,1.59,0.31,0.86,2009,https://www.vgchartz.com/games/boxart/full_5266833AmericaFrontccc.jpg
504,Far Cry 3,far-cry-3,Shooter,,PS3,Ubisoft,Ubisoft Montreal,,,,3.27,0.88,1.79,0.1,0.5,2012,https://www.vgchartz.com/games/boxart/full_9340109AmericaFrontccc.jpg
505,God of War: Chains of Olympus,god-of-war-chains-of-olympus,Action,M,PSP,Sony Computer Entertainment,Ready at Dawn,8.9,9.5,3.26,,,,,,2008,https://www.vgchartz.com/games/boxart/full_3484636AmericaFrontccc.jpg
506,FIFA 16,fifa-16,Sports,E,XOne,EA Sports,EA Canada,8.5,,,3.25,0.92,2.1,,0.24,2015,https://www.vgchartz.com/games/boxart/full_8789149AmericaFrontccc.jpg
507,Tekken,tekken,Fighting,T,PS,Namco,Namco,8.3,,,3.24,0.95,1.3,0.77,0.22,1995,https://www.vgchartz.com/games/boxart/full_7759006AmericaFrontccc.jpg
508,Flash Focus: Vision Training in Minutes a Day,flash-focus-vision-training-in-minutes-a-day,Misc,E,DS,Nintendo,Bandai Namco Games,6.1,,3.23,,,,,,2007,https://www.vgchartz.com/games/boxart/full_3097585AmericaFrontccc.jpg
509,007: Tomorrow Never Dies,007-tomorrow-never-dies,Shooter,T,PS,Electronic Arts,Black Ops Entertainment,6.2,,,3.21,1.72,1.33,,0.16,1999,https://www.vgchartz.com/games/boxart/9103576ccc.jpg
510,L.A. Noire,la-noire,Adventure,M,PS3,Rockstar Games,Team Bondi,9.1,,,3.21,1.29,1.31,0.12,0.49,2011,https://www.vgchartz.com/games/boxart/full_la-noire_75AmericaFront.jpg
511,Baseball,baseball,Sports,,NES,Nintendo,Nintendo,,,3.2,,,,,,1985,https://www.vgchartz.com/games/boxart/5489947ccc.jpg
512,Dragon Quest IV,dragon-quest-iv,Role-Playing,,NES,Enix,ChunSoft,,,3.2,,,,,,1992,https://www.vgchartz.com/games/boxart/1457148ccc.jpg
513,Dragon Quest VI: Maboroshi no Daichi,dragon-quest-vi-maboroshi-no-daichi,Role-Playing,,SNES,Enix,Heart Beat,,,3.2,,,,,,1995,https://www.vgchartz.com/games/boxart/full_6472579JapanFrontccc.jpg
514,Killer Instinct,killer-instinct,Fighting,T,SNES,Nintendo,Rare Ltd.,,,3.2,,,,,,1995,https://www.vgchartz.com/games/boxart/full_5572538AmericaFrontccc.jpg
515,WWF SmackDown! 2: Know Your Role,wwf-smackdown-2-know-your-role,Fighting,T,PS,THQ,Yuke's,8.7,,,3.2,1.76,1.21,0.07,0.16,2000,https://www.vgchartz.com/games/boxart/3194073ccc.jpg
516,Middle-Earth: Shadow of Mordor,middle-earth-shadow-of-mordor,Action,M,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,,,,3.19,1.03,1.6,0.05,0.51,2014,https://www.vgchartz.com/games/boxart/full_720495AmericaFrontccc.jpg
517,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,8.3,,,3.19,1.07,1.55,0.06,0.51,2013,https://www.vgchartz.com/games/boxart/full_4303408AmericaFrontccc.jpg
518,Personal Trainer: Cooking,personal-trainer-cooking,Misc,E,DS,Nintendo,Nintendo EAD,8.4,,3.18,,,,,,2008,https://www.vgchartz.com/games/boxart/full_5100943AmericaFrontccc.jpg
519,Enter the Matrix,enter-the-matrix,Action,T,PS2,Atari,Shiny Entertainment,,,,3.18,1.78,1.12,0.09,0.19,2003,https://www.vgchartz.com/games/boxart/full_3940160AmericaFrontccc.jpg
520,Assassin's Creed Odyssey,assassins-creed-odyssey,Action-Adventure,M,PS4,Ubisoft,Ubisoft Quebec,9.5,,,3.18,1.18,1.4,0.09,0.51,2018,https://www.vgchartz.com/games/boxart/full_1336415AmericaFrontccc.jpg
521,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,PS3,Bethesda Softworks,Obsidian Entertainment,8.2,,,3.17,1.54,1.04,0.1,0.49,2010,https://www.vgchartz.com/games/boxart/full_fallout-new-vegas_9AmericaFront.jpg
522,Ace Combat 04: Shattered Skies,ace-combat-04-shattered-skies,Simulation,E,PS2,Namco,Namco,8.9,,,3.17,2.06,0.56,0.38,0.17,2001,https://www.vgchartz.com/games/boxart/9672735ccc.jpg
